titulo,precio,kilometros,año,combustible,ciudad,garantia,url
MERCEDES-BENZ Clase C C 220 d 4p.,55500,5000,2022,4,Barcelona,True,/km-0/mercedes-benz/clase_c/barcelona/c_220_d-electrico-hibrido-de-km0-51787923-kovn.aspx
MERCEDES-BENZ Clase C C Coupe 300 2p.,40999,42500,2018,2,Alicante,True,/mercedes-benz-clase-c-c-coupe-300-2p-gasolina-2018-en-alicante-51675272-covo.aspx
MERCEDES-BENZ Clase C MercedesAMG C 63 4p.,53900,68000,2016,2,Murcia,True,/mercedes-benz-clase-c-mercedesamg-c-63-4p-gasolina-2016-en-murcia-51424148-covo.aspx
MERCEDES-BENZ Clase C MercedesAMG C 43 4MATIC 5p.,35999,109500,2016,2,Alicante,True,/mercedes-benz-clase-c-mercedesamg-c-43-4matic-5p-gasolina-2016-en-alicante-50688228-covo.aspx
MERCEDES-BENZ Clase C C 220 d Avantgarde 4p.,25900,113321,2016,1,Sevilla,True,/mercedes-benz-clase-c-c-220-d-avantgarde-4p-diesel-2016-en-sevilla-51108864-covo.aspx
MERCEDES-BENZ Clase C C 300 h Avantgarde Estate 5p.,23490,89504,2016,4,Madrid,True,/mercedes-benz-clase-c-c-300-h-avantgarde-estate-5p-electrico-hibrido-2016-en-madrid-51668387-covo.aspx
MERCEDES-BENZ Clase C C 220 CDI 4MATIC Sport 4p.,26900,187000,2014,1,Castellón,True,/mercedes-benz-clase-c-c-220-cdi-4matic-avantgarde-4p-diesel-2013-en-castellon-51215917-covo.aspx
MERCEDES-BENZ Clase C 200 d Avantgarde 4p.,27900,128077,2016,1,Cáceres,True,/mercedes-benz-clase-c-200-d-avantgarde-4p-diesel-2016-en-caceres-51030586-covo.aspx
MERCEDES-BENZ Clase C C Cabrio 220 d 2p.,42900,39000,2019,1,Málaga,True,/mercedes-benz-clase-c-c-cabrio-220-d-2p-diesel-2018-en-malaga-51268745-covo.aspx
MERCEDES-BENZ Clase C C 200 Estate 5p.,34990,63421,2019,4,Toledo,True,/mercedes-benz-clase-c-c-200-estate-5p-electrico-hibrido-2019-en-toledo-51732698-covo.aspx
MERCEDES-BENZ Clase C C 200 d 4p.,36899,22738,2020,1,Sevilla,True,/mercedes-benz-clase-c-c-200-d-4p-diesel-2020-en-sevilla-51787133-covo.aspx
MERCEDES-BENZ Clase C Coupe C 220 d 2p.,37400,45300,2019,1,Pontevedra,True,/mercedes-benz-clase-c-coupe-c-220-d-2p-diesel-2019-en-pontevedra-51563283-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4MATIC Sportive AMG 4p.,28500,53695,2016,1,Toledo,True,/mercedes-benz-clase-c-c-220-d-4matic-sportive-amg-4p-diesel-2016-en-toledo-51652783-covo.aspx
MERCEDES-BENZ Clase C C 220 d Sportive Avantgarde 4p.,26990,74000,2016,1,Navarra,True,/mercedes-benz-clase-c-c-220-d-sportive-avantgarde-4p-diesel-2016-en-navarra-50374597-covo.aspx
MERCEDES-BENZ Clase C C 200 d 4p.,23900,92000,2016,1,Sevilla,True,/mercedes-benz-clase-c-c-200-d-4p-diesel-2016-en-sevilla-50661283-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,28600,83247,2017,1,Zaragoza,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2017-en-zaragoza-51781351-covo.aspx
MERCEDES-BENZ Clase C MercedesAMG C 43 4MATIC 4p.,43990,68000,2017,2,Madrid,True,/mercedes-benz-clase-c-mercedesamg-c-43-4matic-4p-gasolina-2017-en-madrid-51655552-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,34500,93000,2018,1,Burgos,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2018-en-burgos-51575822-covo.aspx
MERCEDES-BENZ Clase C Cabrio C 220 d 2p.,42900,23000,2019,1,Málaga,True,/mercedes-benz-clase-c-cabrio-c-220-d-2p-diesel-2019-en-malaga-49527927-covo.aspx
MERCEDES-BENZ Clase C C 220 d AMG Line Estate 5p.,24994,149500,2015,1,La Rioja,True,/mercedes-benz-clase-c-c-220-d-amg-line-estate-5p-diesel-2015-en-la_rioja-51786739-covo.aspx
MERCEDES-BENZ Clase C C Coupe 200 2p.,29900,77000,2017,2,Málaga,True,/mercedes-benz-clase-c-c-coupe-200-2p-gasolina-2017-en-malaga-51467480-covo.aspx
MERCEDES-BENZ Clase C C 200 d 4p.,26480,136000,2017,1,Córdoba,True,/mercedes-benz-clase-c-c-200-d-4p-diesel-2017-en-cordoba-51617162-covo.aspx
MERCEDES-BENZ Clase C C 200 d 4p.,36899,22738,2020,1,Barcelona,True,/mercedes-benz-clase-c-c-200-d-4p-diesel-2020-en-barcelona-51786639-covo.aspx
MERCEDES-BENZ Clase C C 200 d 4p.,36899,22738,2020,1,Madrid,True,/mercedes-benz-clase-c-c-200-d-4p-diesel-2020-en-madrid-51786478-covo.aspx
MERCEDES-BENZ Clase C C 200 d 4p.,36899,22738,2020,1,Valencia,True,/mercedes-benz-clase-c-c-200-d-4p-diesel-2020-en-valencia-51786431-covo.aspx
MERCEDES-BENZ Clase C C Coupe 220 d 2p.,34990,92190,2018,1,Zaragoza,True,/mercedes-benz-clase-c-c-coupe-220-d-2p-diesel-2018-en-zaragoza-51377809-covo.aspx
MERCEDES-BENZ Clase C C 200 4p.,45900,1000,2021,4,Lleida,True,/km-0/mercedes-benz/clase_c/lleida/c_200-electrico-hibrido-de-demostracion-51365343-devn.aspx
MERCEDES-BENZ Clase C C 250 4p.,29900,50651,2018,2,Barcelona,True,/mercedes-benz-clase-c-c-250-4p-gasolina-2018-en-barcelona-51786197-covo.aspx
MERCEDES-BENZ,25850,72000,2017,1,Madrid,False,/mercedes-benz-clase-c--4p-diesel-2017-en-madrid-51787001-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,27900,111000,2017,1,Almería,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2017-en-almeria-51620864-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,36900,49900,2017,1,Barcelona,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2017-en-barcelona-50887595-covo.aspx
MERCEDES-BENZ Clase C C 200 4p.,29900,149990,2020,4,Barcelona,True,/mercedes-benz-clase-c-c-200-4p-electrico-hibrido-2019-en-barcelona-50575632-covo.aspx
MERCEDES-BENZ Clase C MercedesAMG C 63 Estate 5p.,52000,45000,2017,2,Badajoz,True,/mercedes-benz-clase-c-mercedesamg-c-63-estate-5p-gasolina-2017-en-badajoz-49754494-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,28995,28432,2017,1,Las Palmas,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2017-en-las_palmas-51700871-covo.aspx
MERCEDES-BENZ Clase C C 200 4p.,38900,29800,2020,4,Burgos,True,/mercedes-benz-clase-c-c-200-4p-electrico-hibrido-2020-en-burgos-51527632-covo.aspx
MERCEDES-BENZ Clase C Coupe MercedesAMG C 63 S 2p.,94990,19990,2020,2,Pontevedra,True,/mercedes-benz-clase-c-coupe-mercedesamg-c-63-s-2p-gasolina-2020-en-pontevedra-51621594-covo.aspx
MERCEDES-BENZ Clase C C 220 d Exclusive 4p.,19990,132000,2015,1,Valladolid,True,/mercedes-benz-clase-c-c-220-d-4matic-exclusive-4p-diesel-2015-en-valladolid-48518958-covo.aspx
MERCEDES-BENZ Clase C C 200 d AMG Line 4p.,27000,60000,2016,1,Barcelona,False,/mercedes-benz-clase-c-c-200-d-amg-line-4p-diesel-2016-en-barcelona-51784822-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,26500,106000,2017,1,Valencia,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2017-en-valencia-51393295-covo.aspx
MERCEDES-BENZ Clase C C 200 d Estate 5p.,26290,67000,2018,1,Sevilla,True,/mercedes-benz-clase-c-c-200-d-estate-5p-diesel-2018-en-sevilla-51784740-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,19590,147487,2016,1,Sevilla,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2016-en-sevilla-51784730-covo.aspx
MERCEDES-BENZ Clase C C 200 d 4p.,17990,149764,2016,1,Sevilla,True,/mercedes-benz-clase-c-c-200-d-4p-diesel-2016-en-sevilla-51784732-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,18990,107630,2017,1,Barcelona,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2017-en-barcelona-51784690-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,24890,138084,2018,1,Barcelona,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2018-en-barcelona-51784688-covo.aspx
MERCEDES-BENZ Clase C C 200 d 4p.,17990,149764,2016,1,Barcelona,True,/mercedes-benz-clase-c-c-200-d-4p-diesel-2016-en-barcelona-51784689-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,31950,127931,2018,1,Asturias,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2018-en-asturias-51446324-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4MATIC 4p.,24920,102386,2018,1,Madrid,True,/mercedes-benz-clase-c-c-220-d-4matic-4p-diesel-2018-en-madrid-51784568-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,24890,138084,2018,1,Madrid,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2018-en-madrid-51784561-covo.aspx
MERCEDES-BENZ Clase C C Cabrio 220 d 2p.,39900,51900,2018,1,Málaga,True,/mercedes-benz-clase-c-c-cabrio-220-d-2p-diesel-2018-en-malaga-51654117-covo.aspx
MERCEDES-BENZ Clase C C 200 d Estate 5p.,24889,138754,2018,1,Valencia,True,/mercedes-benz-clase-c-c-200-d-estate-5p-diesel-2019-en-valencia-50758131-covo.aspx
MERCEDES-BENZ Clase C C 200 d 4p.,32900,69900,2020,1,Málaga,True,/mercedes-benz-clase-c-c-200-d-4p-diesel-2020-en-malaga-51338115-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,33900,41500,2017,1,Barcelona,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2018-en-barcelona-51784183-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,45000,30600,2020,1,Badajoz,True,/mercedes-benz-clase-c-c-220-d-diesel-2020-en-badajoz-50843097-covo.aspx
MERCEDES-BENZ Clase C C 220 d AMG Line 4p.,27900,71000,2016,1,Burgos,True,/mercedes-benz-clase-c-c-220-d-amg-line-4p-diesel-2016-en-burgos-51783702-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,27499,119000,2018,1,Cádiz,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2018-en-cadiz-51783695-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,33880,65700,2018,1,Barcelona,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2017-en-barcelona-51783659-covo.aspx
MERCEDES-BENZ Clase C C 220 d AMG Line Estate 5p.,24500,105000,2015,1,Vizcaya,True,/mercedes-benz-clase-c-c-220-d-amg-line-estate-5p-diesel-2015-en-vizcaya-50696316-covo.aspx
MERCEDES-BENZ Clase C C 200 d 4p.,22480,130000,2016,1,Córdoba,True,/mercedes-benz-clase-c-c-200-d-4p-diesel-2016-en-cordoba-51406672-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,33600,85000,2019,1,Valencia,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2019-en-valencia-51500934-covo.aspx
MERCEDES-BENZ Clase C AMG C 63 4p.,59990,67000,2015,2,Barcelona,True,/mercedes-benz-clase-c-amg-c-63-gasolina-2015-en-barcelona-51045137-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,28900,57000,2017,1,Burgos,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2017-en-burgos-51783460-covo.aspx
MERCEDES-BENZ Clase C Cabrio C 200 2p.,44500,8800,2020,4,Valencia,True,/mercedes-benz-clase-c-cabrio-c-200-2p-electrico-hibrido-2020-en-valencia-51764314-covo.aspx
