precio,kilometros,garantia,AMG,años,combustible_2,combustible_4,z_kilometros,combustible_5,tipo_200,tipo_220,tipo_250,tipo_300,tipo_350,tipo_400,tipo_43,tipo_45,tipo_450,tipo_63,tipo_NoInfo,puertas,4MATIC,Avantgarde,BlueTEC,Sportive,Exclusive,S Edition,d Edition
34990,63421,True,False,3,0,1,63419.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
36899,22738,True,False,2,0,0,22736.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
37400,45300,True,False,3,0,0,45298.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
28500,53695,True,True,6,0,0,53693.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,True,False,False,True,False,False,False
26990,74000,True,False,6,0,0,73998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,True,False,True,False,False,False
23900,92000,True,False,6,0,0,91998.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
28600,83247,True,False,5,0,0,83245.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
43990,68000,True,True,5,1,0,67998.41987416412,0,0,0,0,0,0,0,1,0,0,0,0,4,True,False,False,False,False,False,False
34500,93000,True,False,4,0,0,92998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
42900,23000,True,False,3,0,0,22998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
24994,149500,True,True,7,0,0,149498.41987416413,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
29900,77000,True,False,5,1,0,76998.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
26480,136000,True,False,5,0,0,135998.41987416413,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
36899,22738,True,False,2,0,0,22736.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
36899,22738,True,False,2,0,0,22736.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
36899,22738,True,False,2,0,0,22736.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
34990,92190,True,False,4,0,0,92188.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
45900,1000,True,False,1,0,1,998.4198741641205,0,0,0,0,0,0,0,0,0,0,0,1,4,False,False,False,False,False,False,False
29900,50651,True,False,4,1,0,50649.41987416412,0,0,0,1,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
25850,72000,False,False,5,0,0,71998.41987416412,0,0,0,0,0,0,0,0,0,0,0,1,NoInfo,False,False,False,False,False,False,False
27900,111000,True,False,5,0,0,110998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
36900,49900,True,False,5,0,0,49898.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
29900,149990,True,False,2,0,1,149988.41987416413,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
52000,45000,True,True,5,1,0,44998.41987416412,0,0,0,0,0,0,0,0,0,0,1,0,5,False,False,False,False,False,False,False
28995,28432,True,False,5,0,0,28430.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
38900,29800,True,False,2,0,1,29798.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
94990,19990,True,True,2,1,0,19988.41987416412,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False,False,False,False,False,False
19990,132000,True,False,7,0,0,131998.41987416413,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,True,False,False
27000,60000,False,True,6,0,0,59998.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
26500,106000,True,False,5,0,0,105998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
26290,67000,True,False,4,0,0,66998.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
19590,147487,True,False,6,0,0,147485.41987416413,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
17990,149764,True,False,6,0,0,149762.41987416413,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
18990,107630,True,False,5,0,0,107628.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
24890,138084,True,False,4,0,0,138082.41987416413,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
17990,149764,True,False,6,0,0,149762.41987416413,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
31950,127931,True,False,4,0,0,127929.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
24920,102386,True,False,4,0,0,102384.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,True,False,False,False,False,False,False
24890,138084,True,False,4,0,0,138082.41987416413,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
39900,51900,True,False,4,0,0,51898.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
24889,138754,True,False,4,0,0,138752.41987416413,0,1,0,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
32900,69900,True,False,2,0,0,69898.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
33900,41500,True,False,5,0,0,41498.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
45000,30600,True,False,2,0,0,30598.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
27900,71000,True,True,6,0,0,70998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
27499,119000,True,False,4,0,0,118998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
33880,65700,True,False,4,0,0,65698.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
24500,105000,True,True,7,0,0,104998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
22480,130000,True,False,6,0,0,129998.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
33600,85000,True,False,3,0,0,84998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
59990,67000,True,True,7,1,0,66998.41987416412,0,0,0,0,0,0,0,0,0,0,1,0,4,False,False,False,False,False,False,False
28900,57000,True,False,5,0,0,56998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
44500,8800,True,False,2,0,1,8798.419874164121,0,1,0,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
39900,33000,True,False,2,0,0,32998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,True,False,False,False,False,False,False
34800,86671,True,False,5,0,0,86669.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
38300,20600,True,False,2,1,0,20598.41987416412,0,0,0,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
18880,222000,True,False,8,0,0,221998.41987416413,0,0,1,0,0,0,0,0,0,0,0,0,4,False,True,True,False,False,False,False
26399,90399,True,False,5,0,0,90397.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
37990,39000,True,False,2,0,0,38998.41987416412,1,0,0,0,1,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
59300,1,True,False,1,0,0,-0.5801258358794867,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
26990,70940,True,False,5,0,0,70938.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
41950,19000,True,False,5,0,0,18998.41987416412,0,0,0,1,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
29900,45000,True,False,6,1,0,44998.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
30490,105000,True,False,4,0,0,104998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
25700,54500,True,False,5,1,0,54498.41987416412,0,0,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
25700,54500,True,False,5,1,0,54498.41987416412,0,0,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
8900,150000,False,False,7,0,0,149998.41987416413,0,0,1,0,0,0,0,0,0,0,0,0,5,False,True,True,True,False,False,False
24890,63600,True,False,6,0,0,63598.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
34999,53030,True,False,3,0,0,53028.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
18500,200000,True,True,7,0,0,199998.41987416413,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,True,False,False,False,False
18500,100000,True,False,5,0,0,99998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
15500,194000,False,False,8,0,0,193998.41987416413,0,0,0,0,0,0,0,0,0,0,0,1,5,False,False,False,False,False,False,False
63000,60000,True,True,5,1,0,59998.41987416412,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False,False,False,False,False,False
29795,69324,True,False,4,0,0,69322.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,True,False,False,False,False,False,False
23500,128000,True,True,6,0,0,127998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,True,False,False,False
31500,105000,False,True,6,0,0,104998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,True,False,False,False,False,False,False
24890,138084,True,False,4,0,0,138082.41987416413,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
25790,145500,True,False,8,0,0,145498.41987416413,0,0,1,0,0,0,0,0,0,0,0,0,4,True,False,False,False,False,False,False
29900,129000,False,False,6,0,0,128998.41987416412,0,0,0,0,0,0,0,0,0,0,0,1,NoInfo,False,False,False,False,False,False,False
38900,87000,True,False,4,0,0,86998.41987416412,0,0,0,1,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
44900,18000,True,False,2,0,0,17998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
34800,114000,True,True,6,0,0,113998.41987416412,0,0,0,1,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
29500,90000,True,True,7,0,0,89998.41987416412,0,0,0,1,0,0,0,0,0,0,0,0,4,False,False,True,False,False,False,False
27500,140000,True,True,6,0,0,139998.41987416413,0,0,0,1,0,0,0,0,0,0,0,0,5,True,False,False,False,False,False,False
38900,21400,True,False,2,0,0,21398.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
28650,49000,True,False,5,0,0,48998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,True,False,False,False,False,False,False
35490,69520,True,False,4,0,0,69518.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
24890,138084,True,False,4,0,0,138082.41987416413,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
38900,65000,True,False,4,0,0,64998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,True,False,False,False,False,False,False
20500,199999,True,False,6,0,0,199997.41987416413,0,1,0,0,0,0,0,0,0,0,0,0,4,False,True,False,True,False,False,False
27900,128319,True,False,5,0,0,128317.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
37990,50440,True,False,4,0,0,50438.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
19890,105427,True,False,5,0,0,105425.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
35900,94000,True,False,5,0,0,93998.41987416412,0,0,0,1,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
34995,20850,True,False,2,1,0,20848.41987416412,0,0,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
24920,102386,True,False,4,0,0,102384.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,True,False,False,False,False,False,False
35950,25100,True,False,4,0,1,25098.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
33999,175000,True,True,6,1,0,174998.41987416413,0,0,0,0,0,0,0,0,0,1,0,0,4,True,False,False,False,False,False,False
26999,131000,True,True,6,0,0,130998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
31890,24001,True,False,2,0,0,23999.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
27999,71000,True,False,4,0,0,70998.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
